Hans Pilgaard og Henrik Torp har været sammen i 10 år .	48	50	0
Hans Pilgaard og Henrik Torp har været sammen i ti år .	48	50	1
Det siger Rasmus Krath , der har interviewet flere pirater .	4	9	0
Det vurderer Rasmus Krath , der har interviewet flere pirater .	4	12	1
- Vi er voldsomt interesseret i at vide , hvor de blomster er blevet solgt , siger kriminalassistent Bo Hass Jensen til Ritzau .	8	16	0
- Vi er meget interesseret i at vide , hvor de blomster er blevet solgt , siger kriminalassistent Bo Hass Jensen til Ritzau .	8	13	1
Flot modtaget .	5	13	0
Flot modtagelse .	5	15	1
Det betyder i praksis , at politiet anholder vidnet i op til 24 timer før retssagen .	74	83	0
Det betyder i praksis , at politiet anholder vidnet i op til 24 timer før retsmødet .	74	83	1
FN har også bedt Danmark om hjælp til at koordinere nødhjælpsindsatsen i Dollo Ado i det sydlige Etiopien .	52	70	0
FN har også bedt Danmark om hjælp til at koordinere nødhjælpen i Dollo Ado i det sydlige Etiopien .	52	62	1
Der vil være en skærpet indrejsekontrol , hvor vi forsøger at udpege de køretøjer og personer , der kan have vores interesse , siger politiinspektør Svend Erik Larsen .	24	39	0
Der vil være en skærpet kontrol , hvor vi forsøger at udpege de køretøjer og personer , der kan have vores interesse , siger politiinspektør Svend Erik Larsen .	24	31	1
Thorning indrømmer forkerte oplysninger .	19	27	0
Thorning indrømmer fejlagtige oplysninger .	19	29	1
Alle de syv mistænktes advokater har fået besked på , at sagen er droppet .	49	51	0
Alle de syv mistænktes advokater har fået besked om , at sagen er droppet .	49	51	1
- Den titel ændrede mit livsforløb , det er der ingen tvivl om .	24	34	0
- Den titel ændrede mit liv , det er der ingen tvivl om .	24	27	1
At det har kunnet være sig selv i 60 år er ret enestående , siger Dario Campeotto .	60	65	0
At det har kunnet være sig selv i 60 år er ret enestående , uddyber Dario Campeotto .	60	67	1
- Vi vil vedtage reformer , der sænker udgifterne , giver større valgfrihed og sikrer dækning , som alle amerikanere kan regne med .	39	49	0
- Vi vil vedtage reformer , der sænker omkostningerne , giver større valgfrihed og sikrer dækning , som alle amerikanere kan regne med .	39	53	1
Fire ud af 10 kommuner vil spare på børn .	11	13	0
Fire ud af ti kommuner vil spare på børn .	11	13	1
Regeringen ser også dystert på udviklingen i ledigheden .	20	27	0
Regeringen ser også sort på udviklingen i ledigheden .	20	24	1
Regeringen forventer , at ledigheden i 2011 vil ende på 162 . 000 personer .	11	20	0
Regeringen venter , at ledigheden i 2011 vil ende på 162 . 000 personer .	11	17	1
Det er en markant stigning i forhold til 2011 .	10	17	0
Det er en kraftig stigning i forhold til 2011 .	10	17	1
Du er ikke konservativ , skriver han .	25	32	0
Du er ikke konservativ , siger han .	25	30	1
Resten af jurymedlemmerne udpeges i april sammen med de film , der skal bedømmes .	10	25	0
Resten af juryen udpeges i april sammen med de film , der skal bedømmes .	10	16	1
Pølsehorn og pizzasnegle .	13	24	0
Pølsehorn og pizza .	13	18	1
I den japanske havneby Sendai kastede en 10 meter høj bølge rundt med biler , bygninger og skibe .	41	43	0
I den japanske havneby Sendai kastede en ti meter høj bølge rundt med biler , bygninger og skibe .	41	43	1
Det skal vi erkende .	4	8	0
Det må vi erkende .	4	6	1
Der var fugtigt , kloakken var sprunget , og det lugtede af tis .	45	48	0
Der var fugtigt , kloakken var sprunget , og der lugtede af tis .	45	48	1
I første omgang blev de også sigtet for at ville sætte ild på Nordeas ejendom på Strandgade i København .	78	80	0
I første omgang blev de også sigtet for at ville sætte ild på Nordeas ejendom i Strandgade i København .	78	79	1
Begge lande gav Rumænien 10 point og Tyskland 12 .	25	27	0
Begge lande gav Rumænien ti point og Tyskland 12 .	25	27	1
Nordkorea åbner for atomforhandlinger .	20	37	0
Nordkorea åbner for nedrustning .	20	31	1
Protester mod Israel i mange byer .	29	33	0
Protester mod Israel i mange lande .	29	34	1
De tre andre blev anholdt ved Blågårdsgade på Nørrebro .	26	29	0
De tre andre blev anholdt omkring Blågårdsgade på Nørrebro .	26	33	1
Villy Søvndal ser intet forkert i , at politikere får fif fra komikere .	24	31	0
Villy Søvndal ser intet odiøst i , at politikere får fif fra komikere .	24	30	1
Nogle tyskere er skeptiske over den danske baggrund .	32	35	0
Nogle tyskere er skeptiske over hans danske baggrund .	32	36	1
Så har Dansk Folkeparti også mulighed for at være mere med undervejs .	24	28	0
Så har Dansk Folkeparti nemlig mulighed for at være mere med undervejs .	24	30	1
- I starten tænkte jeg på , om han ville vise sit sande ansigt .	12	18	0
- I starten spekulerede jeg på , om han ville vise sit sande ansigt .	12	23	1
Stort set hele sortimentet fra butikkerne kommer også til salg på nettet .	15	26	0
Stort set hele udbuddet fra butikkerne kommer også til salg på nettet .	15	23	1
Edward Kennedy tabte kampen til kræft .	28	31	0
Edward Kennedy tabte kampen mod kræft .	28	31	1
Indonesiens mest eftersøgte mand står bag planer om at terrorbombe den danske ambassade i Jakarta , oplyser politiet i Indonesien .	55	66	0
Indonesiens mest eftersøgte mand står bag planer om at bombe den danske ambassade i Jakarta , oplyser politiet i Indonesien .	55	60	1
Politiet mener , at han smed tøjet fra sig efter udåden .	49	55	0
Politiet mener , at han smed tøjet fra sig efter drabet .	49	55	1
Dansk film skaber muslimsk røre .	27	31	0
Dansk film skaber muslimsk uro .	27	30	1
Ingen af de dømte var selv mødt op i retten til onsdagens domsafsigelse .	58	71	0
Ingen af de dømte var selv mødt op i retten til onsdagens dom .	58	61	1
Tyrkiets udenrigsminister , Ahmet Davutoglu , siger , at der derfor ikke længere er grundlag for nye sanktioner mod Iran .	61	67	0
Tyrkiets udenrigsminister , Ahmet Davutoglu , siger , at der nu ikke længere er grundlag for nye sanktioner mod Iran .	61	63	1
Det oplyser vagtchef Søren Peitersen i Nordjyllands Politi .	37	38	0
Det oplyser vagtchef Søren Peitersen fra Nordjyllands Politi .	37	40	1
Dobbelt så mange har fået opfordringer til sex og følt sig krænket af det , viser undersøgelsen .	21	25	0
Dobbelt så mange har modtaget opfordringer til sex og følt sig krænket af det , viser undersøgelsen .	21	29	1
